发送时间：2020-06-08 16:35:10 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2020-06-08 16:42:29 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2020-06-08 16:44:07 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2020-06-08 16:44:35 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2020-06-08 16:45:15 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2020-06-08 16:51:51 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2020-06-08 16:57:53 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2020-06-08 16:58:30 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2020-06-08 16:59:11 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2020-06-08 17:00:25 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2020-06-08 17:01:49 	 服务器地址：http://192.168.56.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
